duzenleme_turu,kayit_id,alan,eski_deger,yeni_deger,gerekce
ad_standartlastirma,DKR0277,aktor,Han Kızı Boyu Uzun Burla Hatun,Burla Hatun,aynı anlatı kişisinin unvan varyantı olay kaydında birleştirildi
ad_standartlastirma,DKR0372,karakter_2,Kan Turalı ve Selcan Hatun,Kan Turalı ve Selcen Hatun,aynı çift düğümünün yazım varyantları birleştirildi
tip_duzeltme,DKR0680,karakter_1_tipi,kişi,grup,kolektif asker topluluğu
tip_duzeltme,DKR0555,karakter_2_tipi,grup,grup,kolektif asker topluluğu
tip_duzeltme,DKR0679,karakter_2_tipi,kişi,grup,kolektif asker topluluğu
tip_duzeltme,DKR0730,karakter_2_tipi,grup,grup,kolektif asker topluluğu
tip_duzeltme,DKR0693,karakter_1_tipi,kişi,grup,kolektif beyler topluluğu
tip_duzeltme,DKR0694,karakter_1_tipi,kişi,grup,kolektif beyler topluluğu
tip_duzeltme,DKR0695,karakter_1_tipi,kişi,grup,kolektif beyler topluluğu
tip_duzeltme,DKR0692,karakter_2_tipi,kişi,grup,kolektif beyler topluluğu
tip_duzeltme,DKR0696,karakter_2_tipi,kişi,grup,kolektif beyler topluluğu
tip_duzeltme,DKR0725,karakter_2_tipi,grup,grup,kolektif beyler topluluğu
tip_duzeltme,DKR0556,karakter_1_tipi,grup,kişi,tekil casus figürü
tip_duzeltme,DKR0493,karakter_1_tipi,grup,grup,çoğul topluluk
tip_duzeltme,DKR0491,karakter_2_tipi,grup,grup,çoğul topluluk
tip_duzeltme,DKR0492,karakter_2_tipi,grup,grup,çoğul topluluk
tip_duzeltme,DKR0494,karakter_2_tipi,grup,grup,çoğul topluluk
tip_duzeltme,DKR0503,karakter_2_tipi,grup,grup,çoğul topluluk
tip_duzeltme,DKR0392,karakter_2_tipi,kişi,grup,çoğul topluluk
tip_duzeltme,DKR0207,karakter_2_tipi,grup,grup,topluluk
tip_duzeltme,DKR0355,karakter_2_tipi,grup,grup,topluluk
tip_duzeltme,DKR0360,karakter_2_tipi,grup,grup,topluluk
tip_duzeltme,DKR0444,karakter_2_tipi,grup,grup,topluluk
tip_duzeltme,DKR0679,karakter_1_tipi,grup,grup,kolektif asker topluluğu
tip_duzeltme,DKR0828,karakter_2_tipi,grup,grup,kolektif asker topluluğu
ad_standartlastirma,DKR0402,karakter_2,Yoldadşları,Yoldaşları,imla standardizasyonu
ad_standartlastirma,DKR0148,karakter_2,Beyrek'in 40 Yoldaşı,Beyrek'in 40 Yoldaşları,çoğul topluluk standardizasyonu
ad_standartlastirma,DKR0343,karakter_1,"Tekfur, 100 Kafir Çevresinde",Tekfur ve 100 Kafir,sahne ifadesi kolektif aktör adına indirgend i
ad_standartlastirma,DKR0697,aktor,Tekfur ve Çevresi,Tekfurun Çevresi,kolektif aktör standardizasyonu
